story,category,score
ind,affective involvement,4.282051282051282
ind,cognitive involvement,4.461538461538462
ind,focused attention,4.0
ind,novelty,3.6923076923076925
ind,user experience,4.153846153846154
gen,affective involvement,4.1923076923076925
gen,cognitive involvement,4.153846153846154
gen,focused attention,3.5384615384615383
gen,novelty,3.3846153846153846
gen,user experience,4.038461538461538
